influencedBy,economist
Ronald_Coase,David_D._Friedman
Ronald_Coase,Paul_Joskow
James_M._Buchanan,Peter_Boettke
Gordon_Tullock,Peter_Leeson
Ronald_Coase,Robert_Higgs
Leland_B._Yeager,George_Selgin
Ronald_Coase,Steve_Hanke
Ronald_Coase,Steven_Landsburg
Ronald_Coase,Steven_N._S._Cheung
James_M._Buchanan,Bruce_L._Benson
James_M._Buchanan,Bryan_Caplan
James_M._Buchanan,Tim_Besley
Ronald_Coase,Duncan_Black
James_M._Buchanan,Donald_J._Boudreaux
Ronald_Coase,Oliver_E._Williamson
James_M._Buchanan,Randall_G._Holcombe
Ronald_Coase,Richard_L._Sandor
Peter_Boettke,Peter_Leeson
Peter_Boettke,Christopher_Coyne
Peter_Boettke,Edward_Stringham
Bruce_L._Benson,Peter_Leeson
Bruce_L._Benson,Edward_Stringham
George_Selgin,David_Beckworth
Oliver_E._Williamson,Paul_Joskow
Oliver_E._Williamson,Peter_G._Klein
David_D._Friedman,Patri_Friedman
David_D._Friedman,Peter_Leeson
David_D._Friedman,Edward_Stringham
David_D._Friedman,Bryan_Caplan
David_D._Friedman,Bruce_L._Benson
Joseph_Schumpeter,Ronald_Coase
Frank_Knight,Ronald_Coase
Frank_Knight,James_M._Buchanan
Friedrich_Hayek,Ronald_Coase
Aaron_Director,Ronald_Coase
Duncan_Black,Gordon_Tullock
Harry_Gunnison_Brown,James_M._Buchanan
Henry_Calvert_Simons,Gordon_Tullock
Arnold_Plant,Ronald_Coase
Knut_Wicksell,James_M._Buchanan
Ludwig_von_Mises,Gordon_Tullock
Friedrich_Hayek,James_M._Buchanan
Gordon_Tullock,James_M._Buchanan
Thomas_Hobbes,James_M._Buchanan
Ludwig_von_Mises,James_M._Buchanan
Friedrich_Hayek,Leland_B._Yeager
Murray_Rothbard,Leland_B._Yeager
Ludwig_von_Mises,Leland_B._Yeager
