economist,influencedBy
Campbell_Harvey,Eugene Fama
Campbell_Harvey,Merton_Miller
Carl_Menger,Franz_Brentano
Carl_Menger,Adam_Smith
Carl_Menger,Aristotle
Carl_Menger,Immanuel_Kant
Carl_Menger,Herbert_Spencer
Carl_Menger,Étienne_Bonnot_de_Condillac
Carlos_A._Vegh,Guillermo_Calvo
Carmine_Gorga,Franco_Modigliani
Carmine_Gorga,Joseph_Kaipayil
Carmine_Gorga,John_Maynard_Keynes
Prasanta_Pattanaik,Amartya_Sen
Robert_P._Murphy,Richard_Ebeling
Robert_P._Murphy,Murray_Rothbard
Robert_P._Murphy,Ludwig_von_Mises
Robert_P._Murphy,Eugen_von_Böhm-Bawerk
Robert_P._Murphy,Hans-Hermann_Hoppe
Robert_P._Murphy,Israel_Kirzner
Robert_P._Murphy,Joseph_Salerno
Robert_Rowthorn,Karl_Marx
Robert_Solow,Paul_Samuelson
Robert_Sugden,David_Hume
Robert_Sugden,John_Rawls
Robert_Sugden,John_Stuart_Mill
Robert_Sugden,Friedrich_Hayek
Robert_Sugden,Adam_Smith
Robert_Sugden,John_Harsanyi
Robin_Hahnel,Paul_Sweezy
Robin_Hahnel,Cornelius_Castoriadis
Robin_Hahnel,Amartya_Sen
Robin_Hahnel,Oskar_R._Lange
Robin_Hahnel,Joan_Robinson
Robin_Hahnel,John_Maynard_Keynes
Robin_Hahnel,Karl_Marx
Robin_Hahnel,Karl_Polanyi
Robin_Hahnel,Piero_Sraffa
Robin_Hahnel,Micha?_Kalecki
Rogelio_Julio_Frigerio,Celso_Furtado
Rogelio_Julio_Frigerio,Hans_Singer
Rogelio_Julio_Frigerio,Karl_Marx
Rogelio_Julio_Frigerio,Raúl_Prebisch
Roger_Garrison,Ludwig_von_Mises
Roman_Inderst,Benny_Moldovanu
Roy_Harrod,John_Maynard_Keynes
Roy_Harrod,John_A._Hobson
Samuel_Bowles,Karl_Marx
Samuel_Bowles,Karl_Polanyi
Samuel_L._Myers_Sr.,John_Kenneth_Galbraith
Scott_Sumner,Milton_Friedman
Michael_Keane,Kenneth_Wolpin
Michael_Keane,James_Heckman
Michael_Keane,John_Geweke
Benjamin_Anderson,Ludwig_von_Mises
Benjamin_Moll,Robert_M._Townsend
Benjamin_Moll,Abhijit_Banerjee
Benjamin_Moll,"Robert_Lucas,_Jr."
Bennett_McCallum,John_Muth
Bennett_McCallum,"Robert_Lucas,_Jr."
Bernard_van_Praag,Mars_Cramer
Bert_F._Hoselitz,Ludwig_von_Mises
Bert_F._Hoselitz,Jacob_Viner
Bert_F._Hoselitz,Talcott_Parsons
Bill_Mitchell,Karl_Marx
Birgit_Grodal,Werner_Fenchel
David_Chandler_Thomas,Milton_Friedman
David_Chandler_Thomas,Friedrich_Hayek
David_D._Friedman,Ronald_Coase
David_D._Friedman,Rose_Friedman
David_D._Friedman,Richard_Timberlake
David_D._Friedman,Robert_A._Heinlein
David_D._Friedman,Friedrich_Hayek
David_D._Friedman,Murray_Rothbard
David_D._Friedman,Adam_Smith
David_D._Friedman,Alfred_Marshall
David_D._Friedman,Milton_Friedman
David_Prychitko,Ludwig_von_Mises
David_Prychitko,Friedrich_Hayek
David_Prychitko,Armen_Alchian
David_Prychitko,Don_Lavoie
David_R._Henderson,Ayn_Rand
David_R._Henderson,Adam_Smith
David_R._Henderson,Armen_Alchian
David_R._Henderson,John_Maynard_Keynes
David_R._Henderson,Karl_Marx
David_R._Henderson,Milton_Friedman
David_Romer,Robert_Solow
David_Romer,John_Maynard_Keynes
David_Romer,Kenneth_Arrow
David_Vines,James_Meade
David_Vines,John_Maynard_Keynes
David_de_la_Croix,Franz_Palm
David_de_la_Croix,Philippe_Michel
David_de_la_Croix,Jacques_Drèze
David_de_la_Croix,Costas_Azariadis
David_de_la_Croix,Joel_Mokyr
David_de_la_Croix,Oded_Galor
Dean_Jamison,Kenneth_Arrow
Deepak_Nayyar,Paul_Streeten
Dennis_Robertson,Knut_Wicksell
Hyman_Minsky,Joseph_Schumpeter
Hyman_Minsky,Wassily_Leontief
Hyman_Minsky,Henry_Calvert_Simons
Hyman_Minsky,Irving_Fisher
Hyman_Minsky,John_Maynard_Keynes
Hyman_Minsky,Karl_Marx
Hyman_Minsky,Micha?_Kalecki
Hyman_Minsky,Abba_P._Lerner
John_R._Meyer,John_Lintner
John_R._Meyer,Alexander_Gerschenkron
John_Ramsay_McCulloch,David_Ricardo
John_Ramsay_McCulloch,Adam_Smith
John_Ridpath,Ayn_Rand
John_Williamson,William_Baumol
John_Williamson,Oskar_Morgenstern
John_Williamson,James_Tobin
Jonathan_Levin,Paul_Milgrom
Jonathan_Zinman,Jonathan_Gruber
Jordi_Galí,Mark_Gertler
Josef_Steindl,John_Maynard_Keynes
Joseph_Schumpeter,Frédéric_Bastiat
Joseph_T._Salerno,Murray_Rothbard
José_Scheinkman,William_A._Brock
José_Scheinkman,Lionel_McKenzie
Julia_Cagé,Daniel_Cohen
Julia_Cagé,Nathan_Nunn
Julian_Simon,David_Hume
Julian_Simon,Voltaire
Julian_Simon,Edward_Gibbon
Julian_Simon,Friedrich_Hayek
