influencedBy,economist
Carl_Menger,Ron_Paul
Carl_Menger,Friedrich_von_Wieser
Carl_Menger,Murray_Rothbard
Carl_Menger,Ludwig_Lachmann
Carl_Menger,Ludwig_von_Mises
Carl_Menger,Friedrich_Hayek
Carl_Menger,Ayn_Rand
Carl_Menger,Eugen_von_Böhm-Bawerk
Carl_Menger,Henry_Ludwell_Moore
Carl_Menger,Karl_Polanyi
Carl_Shapiro,Hal_Varian
Robert_Rowthorn,Ha-Joon_Chang
Robert_Sugden,Graham_Loomes
Robert_Sugden,Kenneth_Binmore
Rogelio_Julio_Frigerio,Rogelio_Frigerio
Rogelio_Julio_Frigerio,Aldo_Ferrer
Rogelio_Julio_Frigerio,Arturo_Frondizi
Rogelio_Julio_Frigerio,Arturo_Jauretche
Rogelio_Julio_Frigerio,Raúl_Scalabrini_Ortiz
Roy_Harrod,Athanasios_Asimakopulos
Samuel_Bowles,Duncan_K._Foley
Samuel_Bowles,Herbert_Gintis
Barry_Eichengreen,Marcel_Fratzscher
Basil_Moore,Steve_Keen
Basil_Moore,Marc_Lavoie
Basil_Moore,Louis-Philippe_Rochon
Benjamin_Anderson,Henry_Hazlitt
Benjamin_Graham,Bill_Ackman
Benjamin_Graham,David_Dodd
Benjamin_Graham,Warren_Buffett
Benjamin_Graham,William_J._Ruane
Benjamin_Graham,Irving_Kahn
Benjamin_Graham,Jean-Marie_Eveillard
Benjamin_Graham,Seth_Klarman
Benjamin_Graham,Walter_J._Schloss
Bennett_McCallum,Edward_Nelson
Bennett_McCallum,Charles_L._Evans
Bert_F._Hoselitz,"John_Forbes_Nash,_Jr"
Birgit_Grodal,Andreu_Mas-Colell
Birgit_Grodal,Suzanne_Scotchmer
David_D._Friedman,Patri_Friedman
David_D._Friedman,Peter_Leeson
David_D._Friedman,Edward_Stringham
David_D._Friedman,Bryan_Caplan
David_Landes,Jeffrey_Sachs
David_Landes,Jeffrey_Herf
David_Landes,Niall_Ferguson
Horst_Siebert,Jan_Hatzius
Hyman_Minsky,Paul_Krugman
Hyman_Minsky,Paul_McCulley
Hyman_Minsky,Stephany_Griffith-Jones
Hyman_Minsky,Steve_Keen
Hyman_Minsky,Daniele_Archibugi
Hyman_Minsky,Ha-Joon_Chang
Hyman_Minsky,L._Randall_Wray
Hyman_Minsky,Lars_Pålsson_Syll
Hyman_Minsky,Laurence_Meyer
Hyman_Minsky,Michael_Hudson
John_Muth,Edward_C._Prescott
John_Muth,Thomas_J._Sargent
John_Muth,Finn_E._Kydland
John_Muth,Neil_Wallace
John_Muth,"Robert_Lucas,_Jr."
Josef_Steindl,Paul_A._Baran
Joseph_Schumpeter,Carlota_Perez
Joseph_Schumpeter,Robert_Solow
Joseph_Schumpeter,Ronald_Coase
Joseph_Schumpeter,Hyman_Minsky
Joseph_Schumpeter,Paul_Romer
Joseph_Schumpeter,Paul_Sweezy
