influencedBy,economist
Carl_Menger,Ron_Paul
Carl_Menger,Friedrich_von_Wieser
Carl_Menger,Murray_Rothbard
Carl_Menger,Ludwig_Lachmann
Carl_Menger,Ludwig_von_Mises
Carl_Menger,Friedrich_Hayek
Carl_Menger,Ayn_Rand
Carl_Menger,Eugen_von_Böhm-Bawerk
Carl_Menger,Henry_Ludwell_Moore
Carl_Menger,Karl_Polanyi
Samuel_Bowles,Duncan_K._Foley
Basil_Moore,Steve_Keen
Benjamin_Anderson,Henry_Hazlitt
David_D._Friedman,Patri_Friedman
David_D._Friedman,Peter_Leeson
David_D._Friedman,Edward_Stringham
David_D._Friedman,Bryan_Caplan
Hyman_Minsky,Paul_Krugman
Hyman_Minsky,Paul_McCulley
Hyman_Minsky,Stephany_Griffith-Jones
Hyman_Minsky,Steve_Keen
Hyman_Minsky,Daniele_Archibugi
Hyman_Minsky,Ha-Joon_Chang
Hyman_Minsky,L._Randall_Wray
Hyman_Minsky,Lars_Pålsson_Syll
Hyman_Minsky,Laurence_Meyer
Hyman_Minsky,Michael_Hudson
John_Muth,Thomas_J._Sargent
Joseph_Schumpeter,Carlota_Perez
Joseph_Schumpeter,Robert_Solow
Joseph_Schumpeter,Ronald_Coase
Joseph_Schumpeter,Hyman_Minsky
Joseph_Schumpeter,Paul_Romer
Joseph_Schumpeter,Paul_Sweezy
Joseph_Schumpeter,Peter_Howitt
Joseph_Schumpeter,Douglass_North
Joseph_Schumpeter,Christopher_Freeman
Joseph_Schumpeter,Edward_C._Prescott
Joseph_Schumpeter,Trevor_Swan
Joseph_Schumpeter,William_Baumol
Joseph_Schumpeter,Edith_Penrose
Joseph_Schumpeter,Finn_E._Kydland
Joseph_Schumpeter,Nicholas_Georgescu-Roegen
Joseph_Schumpeter,Ha-Joon_Chang
Joseph_Schumpeter,Heiner_Flassbeck
Joseph_Schumpeter,Kenneth_Arrow
Joseph_Schumpeter,Jack_Downie
Joseph_Schumpeter,Mariana_Mazzucato
Joseph_Schumpeter,Philippe_Aghion
Joseph_Schumpeter,Frederic_M._Scherer
Joseph_Schumpeter,Immanuel_Wallerstein
Paul_A._Baran,Richard_D._Wolff
Paul_Samuelson,Stanley_Fischer
Paul_Sweezy,Robin_Hahnel
Paul_Sweezy,Richard_D._Wolff
Paul_Sweezy,Norman_Finkelstein
Paul_Sweezy,John_Bellamy_Foster
Paul_Sweezy,Immanuel_Wallerstein
Paul_Sweezy,Yanis_Varoufakis
Peter_Boettke,Peter_Leeson
Peter_Boettke,Christopher_Coyne
Peter_Boettke,Edward_Stringham
Richard_D._Wolff,Jack_Amariglio
Richard_D._Wolff,Yanis_Varoufakis
Richard_Kahn,Joan_Robinson
Richard_Kahn,John_Maynard_Keynes
Richard_Timberlake,David_D._Friedman
Vilfredo_Pareto,Maurice_Allais
Vilfredo_Pareto,Chester_Barnard
Vilfredo_Pareto,Gaetano_Mosca
