influencedBy,economist
Carl_Menger,Ron_Paul
Carl_Menger,Murray_Rothbard
Carl_Menger,Ludwig_Lachmann
Carl_Menger,Ludwig_von_Mises
Carl_Menger,Friedrich_von_Hayek
Carl_Menger,Henry_Ludwell_Moore
Carl_Menger,Karl_Polanyi
Robert_Rowthorn,Ha-Joon_Chang
Roy_Harrod,Athanasios_Asimakopulos
Samuel_Bowles_(economist),Duncan_K._Foley
Basil_Moore,Steve_Keen
Basil_Moore,Marc_Lavoie
Benjamin_Anderson,Henry_Hazlitt
David_D._Friedman,Peter_Leeson
David_D._Friedman,Edward_Stringham
David_D._Friedman,Bryan_Caplan
Hyman_Minsky,Paul_Krugman
Hyman_Minsky,Paul_McCulley
Hyman_Minsky,Stephany_Griffith-Jones
Hyman_Minsky,Steve_Keen
Hyman_Minsky,Daniele_Archibugi
Hyman_Minsky,Ha-Joon_Chang
Hyman_Minsky,Lars_Pålsson_Syll
John_Muth,Thomas_J._Sargent
John_Muth,Finn_E._Kydland
Josef_Steindl,Paul_A._Baran
Joseph_Schumpeter,Robert_Solow
Joseph_Schumpeter,Ronald_Coase
Joseph_Schumpeter,Hyman_Minsky
Joseph_Schumpeter,Paul_Sweezy
Joseph_Schumpeter,Christopher_Freeman
Joseph_Schumpeter,William_Baumol
Joseph_Schumpeter,Edith_Penrose
Joseph_Schumpeter,Finn_E._Kydland
Joseph_Schumpeter,Ha-Joon_Chang
Joseph_Schumpeter,Heiner_Flassbeck
Joseph_Schumpeter,Kenneth_Arrow
Joseph_Schumpeter,Immanuel_Wallerstein
Juergen_B._Donges,Andreas_Freytag
Paul_A._Baran,Richard_D._Wolff
Paul_A._Baran,Immanuel_Wallerstein
Paul_Sweezy,Robin_Hahnel
Paul_Sweezy,Richard_D._Wolff
Paul_Sweezy,Immanuel_Wallerstein
Paul_Sweezy,Yanis_Varoufakis
Peter_Boettke,Peter_Leeson
Peter_Boettke,Christopher_Coyne
Peter_Boettke,Edward_Stringham
Richard_D._Wolff,Jack_Amariglio
Richard_D._Wolff,Yanis_Varoufakis
"Richard_Kahn,_Baron_Kahn",Joan_Robinson
"Richard_Kahn,_Baron_Kahn",John_Maynard_Keynes
Richard_Timberlake,David_D._Friedman
Robert_Barro,Gary_Gorton
Robert_King_(economist),Gary_Gorton
Vilfredo_Pareto,Maurice_Allais
Vilfredo_Pareto,Alfred_Marshall
Vilfredo_Pareto,Oskar_R._Lange
Vilfredo_Pareto,Henry_Ludwell_Moore
Vilfredo_Pareto,John_Maynard_Keynes
Maurice_Allais,Gérard_Debreu
Christopher_Freeman,Giovanni_Dosi
Christopher_Freeman,Daniele_Archibugi
Clarence_Edwin_Ayres,Frank_Knight
Emmanuel_Saez,Thomas_Piketty
Franco_Modigliani,William_A._Barnett
Franco_Modigliani,Jacques_Drèze
Franco_Modigliani,Robert_Shiller
Frank_Fetter,Ludwig_von_Mises
Frank_Knight,Ronald_Coase
Frank_Knight,George_Stigler
Frank_Knight,Steven_N._S._Cheung
Frank_Knight,James_M._Buchanan
Frank_Knight,Milton_Friedman
Franz_Oppenheimer,Murray_Rothbard
Friedrich_Hayek,Ronald_Coase
Friedrich_Hayek,David_D._Friedman
Friedrich_Hayek,Richard_Timberlake
Friedrich_Hayek,George_Selgin
Friedrich_Hayek,George_Stigler
Friedrich_Hayek,Murray_Rothbard
Friedrich_Hayek,Thomas_Sowell
Friedrich_Hayek,Leland_B._Yeager
